//GAME NAME:		Knight Gundam Monogatari 2 (NES)

//BLOCK #006 NAME:		Dialogue Block 1DC49-1DCF8 (POINTER_RELATIVE)

//POINTER #0 @ $1DC49 - STRING #0 @ $1DCF9

#W16($1DC49)
//POINTER #74 @ $1DCDD - STRING #74 @ $1DF49

#W16($1DCDD)
ВЁВс  950[ED]


//POINTER #75 @ $1DCDF - STRING #75 @ $1DF51

#W16($1DCDF)
ВЁВс  850[ED]


//POINTER #76 @ $1DCE1 - STRING #76 @ $1DF59

#W16($1DCE1)
ВЁВс 1450[ED]


//POINTER #77 @ $1DCE3 - STRING #77 @ $1DF61

#W16($1DCE3)
В┴Вс 1300[ED]


//POINTER #78 @ $1DCE5 - STRING #78 @ $1DF69

#W16($1DCE5)
ВЁВс  900[ED]


//POINTER #79 @ $1DCE7 - STRING #79 @ $1DF71

#W16($1DCE7)
ВЁВс 1400[ED]


//POINTER #80 @ $1DCE9 - STRING #80 @ $1DF79

#W16($1DCE9)
ВЁВс 1700[ED]


//POINTER #81 @ $1DCEB - STRING #81 @ $1DF81

#W16($1DCEB)
В┴Вс 2900[ED]


//POINTER #82 @ $1DCED - STRING #82 @ $1DF89

#W16($1DCED)
В┴Вс 1800[ED]


//POINTER #83 @ $1DCEF - STRING #83 @ $1DF91

#W16($1DCEF)
В┴Вс13000[ED]


//POINTER #84 @ $1DCF1 - STRING #84 @ $1DF99

#W16($1DCF1)
В┴Вс15000[ED]


//POINTER #85 @ $1DCF3 - STRING #85 @ $1DFA1

#W16($1DCF3)
ВЁВс26000[ED]


//POINTER #86 @ $1DCF5 - STRING #86 @ $1DFA9

#W16($1DCF5)
В┴Вс 1000[ED]


//POINTER #87 @ $1DCF7 - STRING #87 @ $1DFB1

#W16($1DCF7)
В┴Вс   10[ED]

